scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,12,187,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,78.4254555000,86.1480840000,9224.8725696054,4.9659717131,39.3284097131
1,0.145038167939,1,MONTHLY,12,187,DEC,36.4049630706,36.4049630706,1.0000000000,0.0000000000,78.4254555000,86.1480840000,9224.8725696054,4.9659717131,39.3284097131
1,0.145038167939,1,MONTHLY,12,337,INC,1.3829373681,1.3829373681,1.0000000000,0.0000000000,103.4688680511,98.5231683547,1355.4603652969,5.2426430627,23.3581727080
1,0.145038167939,1,MONTHLY,12,337,DEC,15.5462605521,15.5462605521,1.0000000000,0.0000000000,103.4688680511,98.5231683547,1355.4603652969,5.2426430627,23.3581727080
1,0.145038167939,1,MONTHLY,12,343,INC,1.3829373681,1.3829373681,1.0000000000,0.0000000000,105.9442645577,105.9442645577,1571.0537076627,5.4065740546,43.0695334969
1,0.145038167939,1,MONTHLY,12,343,DEC,24.1807056446,24.1807056446,1.0000000000,0.0000000000,105.9442645577,105.9442645577,1571.0537076627,5.4065740546,43.0695334969
1,0.145038167939,1,MONTHLY,12,349,INC,1.3829373681,1.3829373681,1.0000000000,0.0000000000,105.9442645577,105.9442645577,2218.3404778069,5.4065740546,90.7033904969
1,0.145038167939,1,MONTHLY,12,349,DEC,27.7415133669,27.7415133669,1.0000000000,0.0000000000,105.9442645577,105.9442645577,2218.3404778069,5.4065740546,90.7033904969
1,0.145038167939,1,MONTHLY,12,355,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,2865.6272479511,5.4065740546,74.6623454969
1,0.145038167939,1,MONTHLY,12,355,DEC,31.3023210892,31.3023210892,1.0000000000,0.0000000000,105.9442645577,105.9442645577,2865.6272479511,5.4065740546,74.6623454969
1,0.145038167939,1,MONTHLY,12,505,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,19047.7965015548,5.4065740546,90.1496414969
1,0.145038167939,1,MONTHLY,12,505,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19047.7965015548,5.4065740546,90.1496414969
1,0.145038167939,1,MONTHLY,12,511,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,19695.0832716990,5.4065740546,104.1454374969
1,0.145038167939,1,MONTHLY,12,511,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19695.0832716990,5.4065740546,104.1454374969
1,0.145038167939,1,MONTHLY,12,517,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,20342.3700418432,5.4065740546,271.1653624969
1,0.145038167939,1,MONTHLY,12,517,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,20342.3700418432,5.4065740546,271.1653624969
1,0.145038167939,1,MONTHLY,12,523,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,20989.6568119874,5.4065740546,194.6888894969
1,0.145038167939,1,MONTHLY,12,523,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,20989.6568119874,5.4065740546,194.6888894969
1,0.145038167939,1,MONTHLY,12,673,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,30.9754757434,89.5359300000,26931.6992660966,4.6681037281,4.6681037281
1,0.145038167939,1,MONTHLY,12,673,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,30.9754757434,89.5359300000,26931.6992660966,4.6681037281,4.6681037281
